Food Name,Food Group,Food Sub Group,Per Serving,Energy (kcal),Protein (g),Total Fat (g),Carbo (g),Dietary Fibre (g),Calcium (mg),Sugar (g)
"Cereal, rice and wheat flakes, sweetened",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Cup (35g),128.95,6.65,0.77,23.24,0.91,235.2,5.25
"Cereal, wheat bran flakes",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Cup (39g),132.99,4.68,1.01,23.13,6.32,15.6,4.13
"Cereal, wheat bran pellets",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Cup (65g),206.97,8.71,3.19,26.65,19.5,41.6,9.75
"Cereals, ready-to-eat, muesli, dried fruit and nuts",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Cup (85g),289,8.25,4.17,59.93,6.21,0,26.35
"Froot loops, kelloggs",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Cup (28g),108.88,1.6,1.2,24.08,0.22,2.8,
"Granola, quaker, oat and honey",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Half Cup (48g),220,5,9,31,3,48,13
"Honey smacks, kelloggs",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,1 portion (25g),95,1.63,0.5,21.9,0.88,2.75,13.63
Instant cereal,CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Tablespoon (10g),38.97,0.79,1.01,6.68,0.36,38,4.12
"Nutrigrain, kelloggs",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Cup (44g),168.37,9.24,1.19,31.46,2.68,13.64,
"Oat, rolled, boiled",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Cup (260g),169.81,5.2,3.64,26.52,4.42,23.4,0
Weet-Bix (original),CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Piece (15g),52.8,1.8,0.21,10.05,1.58,,0.42
"Bun, chicken curry",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (78.5g),214.31,6.36,6.75,31.79,1.73,21.2,0
"Bun, cinnamon",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",1 portion (79g),282.03,5.45,8.69,45.5,1.42,34.76,9.56
"Bun, coconut",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (69g),229.08,5.04,11.45,26.5,4,24.15,10.21
"Bun, custard",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (63g),178.29,5.86,5.42,24.7,1.45,45.99,6.49
"Bun, dried shrimp",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (80g),275.2,10.72,12.8,29.28,2.48,114.4,9.12
"Bun, fruit, glazed",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (80g),207.66,5.52,3.2,37.92,2.72,36,11.92
"Bun, fruit, iced",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (75g),222.45,7.35,6,35.03,2.48,75,11.33
"Bun, melon",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (61g),186.05,5.06,5.8,26.41,0.92,25.01,10
"Bun, pork floss",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (78g),336.96,9.98,19.11,31.36,1.33,35.88,6.55
"Bun, sausage",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (70g),198.8,7.84,8.05,23.73,0.98,48.3,0
"Bun, sugared",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (55g),177.1,5.17,4.07,29.7,1.54,9.35,0
"Bun, susi",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (71.2g),217.16,8.69,7.76,28.05,0.85,17.8,0
"Bun, sweet, with dried fruit",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",1 portion (80g),207.2,5.52,3.2,37.92,2.72,36,11.92
"Bun, with sugar coated topping",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (20g),61.4,1.54,2.04,9.24,0.32,7.4,2.58
"Cake, carrot, with cream cheese frosting",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (60g),144.6,1.2,7.8,18,0.6,16.8,
Cheese bun,CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (56g),199.92,6.16,7.67,26.6,1.23,86.24,3.53
Kaya bun,CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (60g),189.6,4.32,4.32,33.36,0.9,30,11.04
"Pow, char siew, steamed",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (53g),160.59,5.78,6.47,19.77,0.74,10.07,0
"Pow, lotus seed paste",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (56g),169.68,3.47,4.42,29.01,1.01,17.92,13.78
"Pow, pork",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (104g),301.6,9.46,13.52,35.36,4.89,9.36,0
"Pow, red bean",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (67g),205.02,4.02,6.37,32.96,2.14,41.54,15.21
"Pow, sweetcorn",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (75g),203.25,4.28,4.65,36,1.35,22.5,11.7
"Pow, vegetable",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (77g),150.15,4.16,4.7,22.87,2.54,26.18,3.85
"Pow, vegetarian chicken",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (59g),137.47,4.96,3.66,21.12,2.3,30.68,6.43
"Pow, yam",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (62g),174.22,3.1,4.03,31.37,2.05,17.36,14.14
Red bean bun,CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (70g),207.9,5.67,5.18,34.79,2.73,30.31,16.31
"Roll, cinnamon, with icing",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (50g),166.5,2.5,6.1,25.8,1.2,15.5,
"Rolls, hamburger or hotdog, plain",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",1 portion (43g),119.97,4.09,1.86,20.36,0.9,59.34,2.69
Walnut bun,CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (78g),255.84,8.5,11.78,29.09,3.67,37.44,9.13
"Cake, black forest, commercial",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Slice (74g),258.64,2.81,14.28,30.04,2.07,36.26,22.2
"Cake, chocolate, homemade",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Piece (55g),201.97,3.8,9.85,24.7,0.83,42.35,10.67
"Cake, fruit, dark, uniced, commercial",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Slice (60g),202.97,3.18,6.96,32.16,1.8,33.6,24.24
"Cake, fruit, light, uniced, commercial",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Slice (60g),215.45,2.94,8.34,32.16,1.98,25.2,20.94
"Cake, fruit, uniced, homemade",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Slice (60g),193.49,2.64,5.82,32.7,1.74,24,21.18
"Cake, plain, commercial",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Slice (40g),141.3,3.28,6.12,18.76,0.48,21.2,10.12
"Cake, plain, uniced, homemade",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Slice (40g),151.1,2.88,6.76,19.68,0.64,27.6,6.88
"Cake, sponge, plain, with jam and cream, commercial",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Slice (54g),175.18,2.54,7.56,24.89,0.49,20.52,17.66
"Castella cake, cheese-flavoured",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Whole (597g),1629.81,61.49,88.18,147.46,5.97,674.61,84.77
"Cheesecake, baked",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Slice (68g),216.92,5.24,15.84,13.26,1.63,48.28,8.64
"Cheesecake, commercial",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Slice (98g),335.03,6.27,21.76,29.6,0.59,107.8,19.21
"Cookies, brownies, commercially prepared",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Whole (56g),226.8,2.69,9.13,34.61,1.18,16.24,20.5
Croissant,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Piece (16g),68.64,1.39,3.46,8.91,0.32,5.28,0.59
"Croissant, with egg, cheese and ham",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",1 portion (152g),474.24,18.92,33.58,24.2,0,144.4,0
"Cupcake, iced, commercial",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Slice (40g),148.61,1.88,5.96,22.36,0.44,1.6,14.6
Danish pastry,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Piece (54g),224.64,4.48,11.88,24.35,0.92,19.98,4.43
"Doughnut, chocolate coated",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Whole (60g),250.2,2.7,11.94,34.44,1.32,127.8,
"Eclair, chocolate, commercial",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Piece (70g),273.3,4.41,18.34,22.89,2.03,48.3,16.03
Kimchi pancake,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Piece (300g),819,12.3,50.85,77.7,6.3,93.9,8.1
"Muffin, english",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",One half (80g),159.85,7.84,1.12,29.2,2.16,95.2,1.28
"Muffin, english, toasted",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",One half (72g),159.87,7.85,1.08,29.23,2.09,95.04,1.3
"Pancake, home prepared",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Piece (80g),182.78,6.32,6.24,24.56,1.52,79.2,3.76
"Pastry, shortcrust, commercial, baked",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Whole (155g),757.59,11.16,46.5,74.25,3.1,18.6,2.95
"Pikelet, home-prepared, cooked",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Piece (25g),69.38,1.88,1.48,11.98,0.43,24.25,3.35
"Pound cake, frozen",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Piece (30g),120.3,1.71,6.42,13.92,0.33,11.7,8.1
"Quiche, ham",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Piece (124g),328.6,14.38,15.62,32.86,3.22,167.4,3.97
"Sausage roll, individual size, ready to eat",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Whole (130g),376.94,10.4,22.88,31.46,2.6,24.7,3.12
"Scone, plain, commercial",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Piece (74g),207.66,6.73,6.51,29.82,1.26,51.8,4.81
"Scone, plain, home prepared",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Whole (40g),138.91,3.36,4.24,21.68,0.72,37.2,1.2
"Tart, custard, individual, commercial",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Piece (135g),340.4,8.1,16.88,39.02,1.35,95.85,14.72
"Tart, jam, individual, commercial",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",Whole (45g),167.51,1.26,6.98,25.52,0.41,5.85,15.57
Beef pho,CEREAL AND CEREAL PRODUCTS,Grains and flours,Bowl-soup (16 and 1/2 cm) (790g),355.5,22.12,4.98,56.09,3.95,43.69,8.69
Brown rice cooked,CEREAL AND CEREAL PRODUCTS,Grains and flours,Bowl-rice (11and 1/2 cm) (230g),273.7,7.13,1.84,57.04,3.45,16.1,0
"Brown rice porridge, plain",CEREAL AND CEREAL PRODUCTS,Grains and flours,Bowl-rice (11and 1/2 cm) (256g),76.8,3.07,0.51,14.85,0.77,10.24,0
"Bulgar, cooked",CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (182g),151.06,5.61,0.44,25.63,8.19,18.2,0.18
"Bulgur, boiled",CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (265g),227.9,8.22,1.06,45.58,11.93,31.8,0
"Bulgur, dried",CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (180g),580.91,17.82,3.06,108.18,21.78,43.2,1.44
"Bulgur, soaked",CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (205g),311.6,10.66,1.85,62.12,6.5,24.6,0.82
Chicken chop with fried rice,CEREAL AND CEREAL PRODUCTS,Grains and flours,Plate-23cm (489g),4800.81,300.49,239.41,356.09,9.54,645.82,19.46
Chicken gimbap,CEREAL AND CEREAL PRODUCTS,Grains and flours,1 portion (275g),352,18.15,9.1,49.5,4.4,61.6,8.25
Chicken katsu don,CEREAL AND CEREAL PRODUCTS,Grains and flours,Bowl-soup (16 and 1/2 cm) (626g),920.22,41.32,40.82,97.66,5.63,102.04,92.02
"Corn stick, chocolate flavoured",CEREAL AND CEREAL PRODUCTS,Grains and flours,Packet (15g),78.9,0.78,4.32,9.23,,4.35,0.63
Custard powder,CEREAL AND CEREAL PRODUCTS,Grains and flours,Tablespoon (9g),34.2,0.04,0.09,8.31,0.01,1.17,
"Dough, yeast",CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (199.6g),738.48,24.75,12.18,132.33,6.79,165.67,
Easy crispy coating flour,CEREAL AND CEREAL PRODUCTS,Grains and flours,Packet (44g),143.88,6.78,0.31,28.56,1.1,5.28,0.44
Fish curry mix,CEREAL AND CEREAL PRODUCTS,Grains and flours,Packet (119g),517.65,18.09,22.25,61.4,36.53,542.64,5.12
"Flour, arrowroot",CEREAL AND CEREAL PRODUCTS,Grains and flours,Tablespoon (9g),31.28,0.01,0.02,7.61,0.08,3.15,0
"Flour, atta",CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (148g),529.84,15.69,2.37,111.59,15.24,45.88,4.14
"Flour, corn",CEREAL AND CEREAL PRODUCTS,Grains and flours,Tablespoon (8g),28.4,0.04,0.11,6.8,0.04,1.2,0.01
"Flour, gluten",CEREAL AND CEREAL PRODUCTS,Grains and flours,Gram (1g),3.78,0.41,0.02,0.46,0.01,0.4,0.01
"Flour, glutinous rice",CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (155g),553.35,10.7,1.55,124.16,1.24,26.35,
"Flour, rice",CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (126g),468.72,7.56,1.26,106.72,1.26,45.36,0.66
"Flour, rye, wholemeal",CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (250g),790.08,30,5.75,137.5,30.5,110,3.5
"Flour, soyafluff soy",CEREAL AND CEREAL PRODUCTS,Grains and flours,Gram (1g),2.89,0.53,0.01,0.16,0.17,2.7,0.08
"Flour, wheat, high protein",CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (140g),492.8,17.64,1.4,102.48,5.32,35,0.14
"Flour, wheat, white",CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (140g),483,18.34,2.24,97.44,5.32,128.8,0
"Flour, wheat, white, self raising",CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (120g),426.02,12.96,1.44,86.52,4.56,85.2,0
"Flour, wheat, wholemeal",CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (120g),422.29,13.68,2.52,78.36,13.56,36,1.08
Fried ebi & teriyaki chicken bento (tested chicken only),CEREAL AND CEREAL PRODUCTS,Grains and flours,1 portion (495g),1272.15,101.48,70.69,56.93,6.93,48.96,12.87
Fried fish and beef bento (tested beef only),CEREAL AND CEREAL PRODUCTS,Grains and flours,1 portion (456g),665.76,71.14,29.69,28.73,2.74,64.3,23.71
Fried fish porridge,CEREAL AND CEREAL PRODUCTS,Grains and flours,Bowl-soup (16 and 1/2 cm) (865g),596.85,38.93,19.98,64.88,4.33,96.88,8.65
Gluten,CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (34g),47.6,7.99,0.03,3.88,0.31,25.84,
"Gluten, fried",CEREAL AND CEREAL PRODUCTS,Grains and flours,Piece (2.66g),13.03,0.72,0.67,1.04,0,0.77,1.04
"Grains based salad with 3 vegetable toppings, no dressing",CEREAL AND CEREAL PRODUCTS,Grains and flours,Bowl-soup (16 and 1/2 cm) (302g),253.68,9.36,6.58,39.56,5.74,49.53,8.46
"Grains based salad with chicken and 3 vegetable toppings, no dressing",CEREAL AND CEREAL PRODUCTS,Grains and flours,Bowl-soup (16 and 1/2 cm) (359g),344.64,33.75,8.11,34.11,8.26,53.13,7.9
"Grains based salad with fish and 3 vegetable toppings, no dressing",CEREAL AND CEREAL PRODUCTS,Grains and flours,Bowl-soup (16 and 1/2 cm) (357g),335.58,23.56,11.64,34.63,7.85,60.33,8.93
Korean bulgogi pork with rice,CEREAL AND CEREAL PRODUCTS,Grains and flours,Plate-20cm (412g),658.99,32.75,25.01,75.77,2.93,30.32,12.48
Mushroom risotto,CEREAL AND CEREAL PRODUCTS,Grains and flours,Plate-23cm (420g),777,19.32,49.52,63.84,3.78,365.82,3.78
"Oat, processed, tinned",CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (43g),158.67,5.07,1.72,30.7,2.28,20.64,0
Oyster mee sua,CEREAL AND CEREAL PRODUCTS,Grains and flours,Bowl-soup (16 and 1/2 cm) (467g),186.8,11.68,4.06,26.15,2.8,67.25,3.27
"Poke bowl, salmon",CEREAL AND CEREAL PRODUCTS,Grains and flours,Plate-23cm (438g),604.44,26.28,35.39,44.68,6.13,139.28,11.39
"Poke bowl, tuna",CEREAL AND CEREAL PRODUCTS,Grains and flours,Plate-23cm (405g),498.15,29.97,19.97,49.82,7.29,112.19,10.13
"Pop corn, buttered",CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (30g),141.17,2.73,7.32,14.88,2.55,2.7,0.18
"Pop corn, durian flavoured",CEREAL AND CEREAL PRODUCTS,Grains and flours,Packet (30g),114,2.07,0.24,25.92,2.55,5.4,0.27
Pork katsu don,CEREAL AND CEREAL PRODUCTS,Grains and flours,Bowl-soup (16 and 1/2 cm) (599g),910.48,44.33,35.82,103.03,3.59,79.07,5.39
"Red rice porridge, plain",CEREAL AND CEREAL PRODUCTS,Grains and flours,Bowl-rice (11and 1/2 cm) (256g),74.24,2.3,0.51,15.1,1.02,7.68,0
"Red rice, cooked",CEREAL AND CEREAL PRODUCTS,Grains and flours,Bowl-rice (11and 1/2 cm) (230g),282.9,8.05,2.07,58.19,3.22,13.8,0
"Rice bran, coarse",CEREAL AND CEREAL PRODUCTS,Grains and flours,Tablespoon (10g),17.3,0.39,0.22,3.43,2.1,5.1,0.84
"Rice bran, extruded",CEREAL AND CEREAL PRODUCTS,Grains and flours,Tablespoon (8g),31.43,1.13,1.63,2.12,2.04,4.64,0.52
"Rice bran, fine",CEREAL AND CEREAL PRODUCTS,Grains and flours,Tablespoon (8g),30.08,1.02,1.26,3.66,2.04,4.08,0.9
"Rice flour, brown",CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (158g),573.54,11.42,4.39,113.57,7.27,17.38,1.34
"Rice, flakes",CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (38g),131.48,2.51,0.46,29.37,0.27,7.6,
"Rice, glutinous, white, cooked",CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (174g),168.78,3.51,0.33,34.96,1.74,3.48,0.09
"Rice, parboiled",CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (200g),710,12.2,2.4,158.2,4.4,18,0.6
"Rice, puffed",CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (21g),68.25,1.58,0.02,15.46,0.06,4.83,0
"Sago, pearl",CEREAL AND CEREAL PRODUCTS,Grains and flours,Tablespoon (11g),38.72,0.02,0.01,9.63,0.06,1.21,
Salmon don,CEREAL AND CEREAL PRODUCTS,Grains and flours,Bowl-soup (16 and 1/2 cm) (405g),1709.1,68.04,39.37,270.95,6.89,38.07,5.67
Seafood risotto,CEREAL AND CEREAL PRODUCTS,Grains and flours,Plate-23cm (374g),579.7,21.32,34.48,46,2.24,170.92,2.62
"Semolina, cooked",CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (245g),74.95,2.45,0.25,15.44,1.47,9.8,1.47
Sliced fish bee hoon with milk,CEREAL AND CEREAL PRODUCTS,Grains and flours,Bowl-soup (16 and 1/2 cm) (792g),332.64,25.34,6.42,44.35,3.17,110.09,7.13
"Sliced fish bee hoon, no evaporated milk",CEREAL AND CEREAL PRODUCTS,Grains and flours,Bowl-soup (16 and 1/2 cm) (833g),374.85,31.65,4.17,53.31,3.33,71.14,5.83
"Spices of the orient flour, original",CEREAL AND CEREAL PRODUCTS,Grains and flours,Packet (44g),148.28,4.4,0.44,31.77,1.19,13.64,2.02
"Tempura don, assorted",CEREAL AND CEREAL PRODUCTS,Grains and flours,1 portion (474g),883.73,24.51,40.91,104.37,2.18,63.85,12.28
Thai basil beef (meat only),CEREAL AND CEREAL PRODUCTS,Grains and flours,Plate-16cm (141g),190.63,19.74,10.59,4.09,1.97,22.56,1.83
Thai basil pork (meat only),CEREAL AND CEREAL PRODUCTS,Grains and flours,Plate-16cm (131g),222.44,17.03,14.28,6.42,1.83,29.87,4.72
Vegetarian chicken,CEREAL AND CEREAL PRODUCTS,Grains and flours,Piece (15.11g),29,2.49,1.89,0.5,0.14,48.2,
Wheat germ,CEREAL AND CEREAL PRODUCTS,Grains and flours,Tablespoon (6g),18.39,1.34,0.42,1.78,1.1,6,0.45
"Wheat, whole grain",CEREAL AND CEREAL PRODUCTS,Grains and flours,Tablespoon (13g),45.24,1.61,0.27,9.07,0.23,4.94,
White rice cooked,CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (200g),280,5.6,1,62.2,0.8,0,0.2
"Brown rice bee hoon, fried, plain",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Plate-23cm (299g),451.49,6.28,8.97,86.71,5.08,14.95,3.89
"Brown rice kway teow, cooked",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-rice (11and 1/2 cm) (200g),262,2.7,2.52,57.6,2,10,0
"Brown rice laksa noodles, cooked",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-rice (11and 1/2 cm) (200g),312,3.4,0.9,72.2,2.7,7.2,0
Cheese prata bomb,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Piece (358g),895,18.97,51.23,89.86,2.51,250.96,30.43
Chicken pho,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-soup (16 and 1/2 cm) (784g),352.8,23.52,5.25,53.31,5.49,48.76,10.19
Cooked beehoon,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Cup (176g),191.84,1.58,0.35,43.82,0.88,7.04,1.94
Cooked brown rice beehoon,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-rice (11and 1/2 cm) (176g),218.24,3.7,0,51.04,2.99,7.04,2.29
Crayfish pasta,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Plate-23cm (562g),741.84,31.47,36.14,73.06,6.74,277.63,16.3
Creamy chicken pasta,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',1 portion (445g),765.4,28.93,46.19,58.74,3.56,114.81,5.34
Creamy mushroom pasta,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-soup (16 and 1/2 cm) (442g),596.7,18.56,32.93,56.58,7.07,149.84,5.75
Curry udon with potato & carrot,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-soup (16 and 1/2 cm) (524g),382.52,13.1,10.01,60.26,6.29,45.27,8.38
"Dao xiao mian, beef, soup",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-soup (16 and 1/2 cm) (990g),693,46.53,7.13,109.89,5.94,78.8,11.88
Dry ban mian,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-soup (16 and 1/2 cm) (547g),749.39,35.01,28.99,86.97,4.92,132.37,10.94
"Dumpling ban mian, pork",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-soup (16 and 1/2 cm) (894g),634.74,31.29,17.97,87.61,2.68,158.24,8.94
"Hoshisoba, boiled",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Gram (1g),1.16,0.05,0.01,0.22,0,0.08,
Japanese shio ramen,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-soup (16 and 1/2 cm) (676g),621.92,39.21,25.49,59.49,2.03,171.7,6.76
Japanese shoyu ramen,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-soup (16 and 1/2 cm) (659g),632.64,33.61,27.88,61.29,1.32,252.4,6.59
"Kway teow, cooked",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-rice (11and 1/2 cm) (200g),280,3.6,3.06,59.4,0.72,10,0
"Laksa noodles, cooked",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-rice (11and 1/2 cm) (200g),278,0.36,0.18,68.8,0.72,8,1.4
"Lasagne/Lasagna, Beef, Restaurant Style, Ready-to-eat",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',1 portion (352g),461.12,27.81,19.71,39.42,7.39,130.24,2.46
Mac and cheese,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-soup (16 and 1/2 cm) (341g),525.14,23.53,27.55,45.69,2.73,419.43,5.46
"Macaroni, cooked, unenriched",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Cup (140g),221.2,8.12,1.3,41.44,2.52,9.8,0.78
"Macaroni, dried",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Cup (92g),323.89,9.11,0.55,70.66,4.6,20.24,1.93
Meatball pasta,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Plate-23cm (540g),588.6,34.02,23.17,61.02,6.48,113.4,13.5
"Mee sua, cooked",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',1 portion (100g),190,13.9,0.9,31.6,4.4,21,0
